,label,area,centroid-0,centroid-1,axis_major_length,axis_minor_length,frame,pos,strain,condition,colony_id,col_idx,min_dist_PA_centroid
14,15,462,683.969696969697,1032.508658008658,29.523651910491758,20.65277754470568,0,4,SA1,JE2GFP_gltTRFP_PAO1_TSB,-1,14.0,415.9989055735181
15,16,1141,701.4382120946539,278.62839614373354,47.06203313779798,32.053398832425906,0,4,SA1,JE2GFP_gltTRFP_PAO1_TSB,-1,15.0,153.18852713367068
16,17,735,774.9414965986394,1557.774149659864,36.69651275753205,26.81049305857167,0,4,SA1,JE2GFP_gltTRFP_PAO1_TSB,-1,16.0,218.27253604390418
17,18,634,804.4731861198738,655.2744479495268,37.08118889855203,23.552793443151792,0,4,SA1,JE2GFP_gltTRFP_PAO1_TSB,-1,17.0,177.9548795189098
18,19,1052,855.0066539923954,494.2557034220532,44.829493054422436,31.115749200752237,0,4,SA1,JE2GFP_gltTRFP_PAO1_TSB,-1,18.0,137.874309603589
19,20,751,864.7150466045273,345.31158455392807,32.3071958735918,30.462694943260317,0,4,SA1,JE2GFP_gltTRFP_PAO1_TSB,-1,19.0,89.75514855619295
20,21,648,914.3364197530864,856.679012345679,34.85011846472586,25.455552841072937,0,4,SA1,JE2GFP_gltTRFP_PAO1_TSB,-1,20.0,139.3600226655925
21,22,1397,930.3185397279885,779.7351467430208,51.07114528138531,35.89045429330049,0,4,SA1,JE2GFP_gltTRFP_PAO1_TSB,-1,21.0,63.712268844164825
22,23,635,933.6661417322834,723.6677165354331,34.52317430951173,24.24784397859061,0,4,SA1,JE2GFP_gltTRFP_PAO1_TSB,-1,22.0,33.610115048105364
23,24,623,954.9951845906902,181.0963081861958,33.06926770044747,24.71595213173023,0,4,SA1,JE2GFP_gltTRFP_PAO1_TSB,-1,23.0,207.6866813576835
24,25,918,1004.4705882352941,1698.2374727668846,51.8124669074381,26.145205046779225,0,4,SA1,JE2GFP_gltTRFP_PAO1_TSB,-1,24.0,96.70500666349473
25,26,1295,1019.1266409266409,1012.4563706563706,49.25021974159715,36.151171083105424,0,4,SA1,JE2GFP_gltTRFP_PAO1_TSB,-1,25.0,289.51283652587574
26,27,715,1082.909090909091,1234.716083916084,35.35485958039936,26.950810839309632,0,4,SA1,JE2GFP_gltTRFP_PAO1_TSB,-1,26.0,167.74902082463154
27,28,604,1146.3708609271523,753.0033112582781,31.269184073649555,25.27958097458056,0,4,SA1,JE2GFP_gltTRFP_PAO1_TSB,-1,27.0,73.0195689290211
28,29,504,1186.1468253968253,217.53373015873015,32.26244506753539,20.74585643330096,0,4,SA1,JE2GFP_gltTRFP_PAO1_TSB,-1,28.0,78.12808792141291
29,30,790,1188.0860759493671,1192.2050632911391,42.10815350577206,25.482595646574378,0,4,SA1,JE2GFP_gltTRFP_PAO1_TSB,-1,29.0,170.74906500532637
30,31,617,1239.3922204213939,445.2058346839546,35.508878981834656,22.607488835800034,0,4,SA1,JE2GFP_gltTRFP_PAO1_TSB,-1,30.0,147.0726710381445
31,32,644,1252.44099378882,676.5621118012423,39.85699353288207,22.203424820792925,0,4,SA1,JE2GFP_gltTRFP_PAO1_TSB,-1,31.0,64.78251370787964
32,33,1161,1285.442721791559,922.7149009474591,45.97023730025577,36.621385670378515,0,4,SA1,JE2GFP_gltTRFP_PAO1_TSB,-1,32.0,71.0810415591816
33,34,680,1351.0029411764706,1825.019117647059,42.10204568214803,22.79525231106323,0,4,SA1,JE2GFP_gltTRFP_PAO1_TSB,-1,33.0,90.28631110447958
34,35,672,1374.623511904762,592.7752976190476,34.62189188716339,26.15359928923144,0,4,SA1,JE2GFP_gltTRFP_PAO1_TSB,-1,34.0,68.20011968900619
35,36,741,1388.9392712550607,1982.0242914979758,39.22923273889505,27.072755169585086,0,4,SA1,JE2GFP_gltTRFP_PAO1_TSB,-1,35.0,88.46779322768926
36,37,945,1404.7185185185185,772.7873015873016,38.30675380811596,31.949861443362835,0,4,SA1,JE2GFP_gltTRFP_PAO1_TSB,-1,36.0,228.29143672478406
